,directLowPrice,highprice,lowprice,marketPrice,midprice,mtg_subTypeName,productId
184,0.04,1.05,0.15,0.22,0.45,Foil,188196
185,0.02,1.0,0.1,0.11,0.25,Foil,188314
186,0.04,1.42,0.1,0.11,0.46,Foil,188297
187,0.05,4.99,0.37,0.77,0.91,Foil,188387
188,0.04,1.0,0.09,0.14,0.25,Foil,188349
189,,,,,,Foil,189009
190,,19.99,1.81,4.26,4.99,Normal,188348
191,0.01,1.69,0.1,0.13,0.27,Foil,188392
192,0.04,1.99,0.01,0.05,0.14,Normal,187202
193,0.04,150.0,0.01,0.07,0.15,Normal,188609
194,0.04,3.15,0.71,0.9,0.99,Foil,188345
195,0.04,150.0,0.01,0.09,0.14,Normal,188300
196,0.02,1.38,0.13,0.14,0.25,Foil,187223
197,0.04,0.84,0.07,0.1,0.25,Foil,187128
198,0.05,2.99,0.05,0.07,0.16,Normal,188358
199,0.02,150.0,0.01,0.1,0.14,Normal,188867
200,0.02,150.0,0.01,0.05,0.12,Normal,188866
201,0.02,150.0,0.01,0.04,0.13,Normal,188508
202,0.02,150.0,0.01,0.07,0.12,Normal,188856
203,0.02,0.69,0.14,0.17,0.25,Foil,188633
204,0.04,150.0,0.02,0.07,0.14,Normal,188610
205,0.04,1.0,0.07,0.15,0.25,Foil,187241
206,0.01,0.69,0.08,0.14,0.25,Foil,188316
207,0.09,3.0,0.35,1.55,1.8,Foil,188865
208,0.04,1.09,0.38,0.48,0.62,Foil,187140
209,,,,20.0,,Foil,189008
210,0.12,4.99,0.1,0.12,0.25,Normal,187139
211,,10.0,2.7,3.71,4.45,Foil,188199
212,0.39,3.0,0.35,0.46,0.98,Normal,187188
213,,,,173.6,,Normal,189007
214,,50.0,24.0,26.98,29.99,Normal,187117
215,0.02,150.0,0.01,0.03,0.12,Normal,187251
216,0.04,1.38,0.06,0.11,0.25,Foil,187250
217,0.08,4.49,0.99,1.16,1.49,Foil,187181
218,0.04,150.0,0.02,0.06,0.13,Normal,187121
219,,15.94,4.68,5.59,6.25,Normal,188488
220,,11.37,1.71,2.01,2.4,Normal,188702
221,0.07,150.0,0.05,0.09,0.19,Normal,187227
222,,19.99,1.49,1.89,2.81,Normal,188632
223,0.02,1.0,0.07,0.12,0.25,Foil,188857
224,0.04,150.0,0.04,0.06,0.15,Normal,188900
225,,11.99,2.7,3.73,4.0,Normal,187119
226,0.2,6.5,2.99,3.18,4.4,Foil,188631
227,0.04,1.99,0.01,0.07,0.14,Normal,187212
228,,,,10.32,,Normal,189006
229,,75.0,0.2,0.37,0.65,Normal,187211
230,,6.99,1.79,2.43,3.63,Foil,188715
231,0.01,1.69,0.09,0.1,0.25,Foil,188850
232,,2.15,0.15,0.4,0.49,Foil,188608
233,,11.37,1.5,3.25,3.92,Normal,187187
234,0.04,3.15,0.15,0.37,0.95,Foil,188875
235,0.04,7.0,0.25,0.39,0.49,Foil,188120
236,0.04,1.99,0.02,0.06,0.12,Normal,188304
237,0.02,2.0,0.25,0.6,0.49,Foil,188893
238,0.03,150.0,0.03,0.08,0.12,Normal,187244
239,0.01,0.69,0.08,0.12,0.25,Foil,188894
240,0.05,1.99,0.05,0.06,0.12,Normal,187221
241,0.04,0.99,0.13,0.37,0.4,Foil,188491
242,0.02,150.0,0.01,0.04,0.12,Normal,188171
243,0.02,0.69,0.1,0.16,0.27,Foil,188117
244,,13.99,0.8,2.01,3.0,Normal,188468
245,0.01,1.99,0.01,0.06,0.14,Normal,188895
246,,4.0,0.49,1.06,1.32,Foil,188515
247,0.02,1.0,0.25,0.56,0.49,Foil,188170
248,0.04,150.0,0.03,0.07,0.12,Normal,187138
249,0.04,0.97,0.13,0.2,0.33,Foil,187124
250,,17.98,13.49,11.66,14.96,Foil,188708
251,,,,29.99,,Foil,189005
252,,31.97,28.5,26.28,29.95,Foil,188705
253,0.02,150.0,0.02,0.08,0.13,Normal,187198
254,0.11,5.0,1.3,2.13,2.47,Foil,187248
255,0.01,150.0,0.01,0.03,0.12,Normal,187222
